Plac Świętego Ducha,50.0638289,19.9427607
Bożego Miłosierdzia,50.0586756,19.9296839
Jabłonowskich,50.0611244,19.9310025
Bulwar Rodła,50.0533190,19.9235425
Bulwar Czerwieński,50.0548926,19.9293166
Bulwar Inflancki,50.0498238,19.9351312
Bulwar Kurlandzki,50.0481072,19.9491399
Podole,50.0208235,19.8809061
Aleja Do Kopca,50.0594622,19.8461638
Pod Sowińcem,50.0563154,19.8420510
Aleja Pustelnika,50.0532211,19.8453474
Aleja Żubrowa,50.0543894,19.8543078
Świętej Bronisławy,50.0528716,19.9123202
Aleja Mieczysława Małeckiego,50.0550998,19.8961661
Vlastimila Hofmana,50.0569942,19.8968778
Skwer Brora Hanssona,50.0612725,19.9282856
Zagonów,50.0495098,19.9190908
Jana Pietrusińskiego,50.0457802,19.9110268
Aleja Elvisa Presleya,50.0417458,19.9090768
Zielna,50.0436494,19.9140284
Praska,50.0452045,19.9062344
Tadeusza Połomskiego,50.0192984,19.9439803
Chochołowska,50.0198784,19.9436528
Walerego Sławka,50.0286608,19.9587078
Nowosądecka,50.0138718,19.9659535
Wincentego Witosa,50.0138690,19.9652546
Generała Henryka Kamieńskiego,50.0286089,19.9587115
Symfoniczna,50.0678180,19.9223070
Jana Kasprowicza,50.0683221,19.9656230
Grunwaldzka,50.0691250,19.9661372
Kielecka,50.0684517,19.9628831
Stefana Garczyńskiego,50.0698894,19.9645231
Juliana Konstantego Ordona,50.0703233,19.9639855
Filipa Eisenberga,50.0697075,19.9670298
Olimpijska,50.0653022,19.9046923
Maurycego Beniowskiego,50.0648963,19.9049428
Cichy Kącik,50.0648492,19.9045201
Ignacego Domeyki,50.0637812,19.9038564
Rynek Dębnicki,50.0516425,19.9266266
Racławicka,50.0739478,19.9186476
Kronikarza Galla,50.0724596,19.9138498
Warmijska,50.0723955,19.9070908
Adama Chmiela,50.0727682,19.9084274
Mariana Smoluchowskiego,50.0736675,19.9100655
Leopolda Staffa,50.0731565,19.9100437
Stanisława Skarbińskiego,50.0711807,19.9100382
Elbląska,50.0685518,19.9149627
